transact_id,date_of_purchase,customer_id,customer_name,product_id,product_name,order_quantity,credit_score,days_given_for_payment,payment_due,actual_repayment_days,product_price,product_cost,profit,profit_margin
bda6e13c-2722-40de-b8d0-0f2a762d0a8a,2022-12-01,C0009,Customer_9,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),19,836,90,2023-03-01,6,2.3,1.2,20.9,91.67
7f907e60-bad5-4539-8a9f-474949252b5d,2023-05-23,C0001,Customer_1,adebf08e-d76c-4514-b9d3-816b54538d0c,Tomatoes (1kg),16,573,30,2023-06-22,74,3.0,1.5,24.0,100.0
c9c8da30-c8d8-4052-99d6-c10eb8c49c60,2024-08-24,C0020,Customer_20,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),15,821,30,2024-09-23,8,1.8,0.8,15.0,125.0
88d82323-3cbd-4bef-b333-5be75f367546,2022-12-26,C0033,Customer_33,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),16,751,60,2023-02-24,14,2.5,1.4,17.6,78.57
33482b09-c24e-4760-8e09-b869608b1d6d,2021-07-24,C0008,Customer_8,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),4,793,90,2021-10-22,60,1.0,0.4,2.4,150.0
af222913-4b98-4f94-b84c-ebaf7f512290,2022-01-13,C0002,Customer_2,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),7,595,90,2022-04-13,83,2.5,1.4,7.7,78.57
9db3b76d-f8d8-4063-8ae7-32b9b3bdb72f,2021-12-09,C0023,Customer_23,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),12,660,90,2022-03-09,36,2.3,1.2,13.2,91.67
bc15f7dc-a2d3-4423-917a-490b2b5ba6b4,2023-07-06,C0053,Customer_53,04aeb0c6-0c3d-45e4-9110-db4b95c85dec,Onions (1kg),9,705,30,2023-08-05,67,2.2,1.1,9.9,100.0
a95593db-28e4-43ea-b377-2679d804d71f,2020-05-07,C0009,Customer_9,07026d42-59df-4baf-9052-bdd454038097,Potatoes (1kg),20,690,60,2020-07-06,60,2.0,1.2,16.0,66.67
f20bdce7-b95f-40b1-ad8b-7cb3bfe73649,2022-06-08,C0021,Customer_21,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),2,551,60,2022-08-07,69,1.8,0.8,2.0,125.0
db3b4389-6648-4a0d-ad4f-32a1f6a06ede,2024-08-25,C0023,Customer_23,04aeb0c6-0c3d-45e4-9110-db4b95c85dec,Onions (1kg),6,543,60,2024-10-24,84,2.2,1.1,6.6,100.0
836807a2-a599-426c-bd16-bdde4510d9e2,2024-05-03,C0052,Customer_52,07026d42-59df-4baf-9052-bdd454038097,Potatoes (1kg),10,785,60,2024-07-02,71,2.0,1.2,8.0,66.67
7c3c8481-be87-4c1a-a704-470245c53bfe,2022-09-18,C0053,Customer_53,c60cf66e-3ba8-427d-b73d-cdf93a1836bf,Bananas (1kg),11,849,60,2022-11-17,31,2.0,1.0,11.0,100.0
dbdbe595-7440-4987-bf8c-44743617337d,2023-08-11,C0041,Customer_41,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),8,844,90,2023-11-09,85,1.8,0.8,8.0,125.0
4961ec9a-baa0-4d56-8189-d8fb2fde62ee,2022-07-22,C0059,Customer_59,07026d42-59df-4baf-9052-bdd454038097,Potatoes (1kg),12,543,60,2022-09-20,55,2.0,1.2,9.6,66.67
9779a31f-1003-4bb2-99d5-7025888f4c86,2022-09-09,C0035,Customer_35,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),6,503,60,2022-11-08,91,2.5,1.4,6.6,78.57
4af996da-e3f6-4cb2-a3a3-ea0c57915fab,2023-07-19,C0030,Customer_30,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),6,802,30,2023-08-18,77,2.3,1.2,6.6,91.67
e6bc06ad-392f-486c-8d1b-0f9a3f3c474a,2022-05-12,C0053,Customer_53,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),13,544,90,2022-08-10,91,2.5,1.3,15.6,92.31
d992ef10-a5d4-4cb1-8b21-1f1a999865e1,2021-03-12,C0048,Customer_48,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),3,672,30,2021-04-11,62,2.3,1.2,3.3,91.67
f49b229d-dcf2-4c11-b4ca-cf1ebaac0c53,2022-09-29,C0006,Customer_6,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),2,842,90,2022-12-28,83,2.5,1.3,2.4,92.31
b47ffd0b-cfe6-4491-97a2-a4e9f155bede,2024-01-31,C0001,Customer_1,04aeb0c6-0c3d-45e4-9110-db4b95c85dec,Onions (1kg),14,699,60,2024-03-31,1,2.2,1.1,15.4,100.0
d0249105-f8c9-4f23-9482-bf18a84b4db8,2022-07-20,C0005,Customer_5,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),9,803,60,2022-09-18,61,1.8,0.8,9.0,125.0
acdeddb3-1671-4e97-b1de-fc8e3a0a484e,2021-01-04,C0030,Customer_30,df9818a5-2744-45c9-9bf5-c07a04323567,Garlic (500g),19,506,60,2021-03-05,19,2.5,1.2,24.7,108.33
daa735d3-3758-4796-8626-2e7ec626c30a,2024-02-27,C0051,Customer_51,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),13,655,60,2024-04-27,67,2.5,1.3,15.6,92.31
ec1585c1-51c4-4970-b207-87ad51786349,2024-05-30,C0056,Customer_56,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),2,816,90,2024-08-28,51,1.0,0.4,1.2,150.0
edf66f4b-5b38-4847-9642-9eae2e7dcb0c,2022-06-13,C0042,Customer_42,04aeb0c6-0c3d-45e4-9110-db4b95c85dec,Onions (1kg),12,698,90,2022-09-11,93,2.2,1.1,13.2,100.0
987a8877-8d49-4b41-8428-63e9d2a4385c,2021-12-20,C0033,Customer_33,c60cf66e-3ba8-427d-b73d-cdf93a1836bf,Bananas (1kg),2,810,90,2022-03-20,93,2.0,1.0,2.0,100.0
c8630f69-ab8b-4d8e-b75f-65936fb8ba88,2023-10-19,C0018,Customer_18,adebf08e-d76c-4514-b9d3-816b54538d0c,Tomatoes (1kg),13,686,30,2023-11-18,72,3.0,1.5,19.5,100.0
15616534-98a1-4c53-b54d-1493a3e492e3,2023-08-21,C0047,Customer_47,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),1,760,90,2023-11-19,21,2.5,1.4,1.1,78.57
0565a61c-efb0-4f28-a302-8e95bcca2528,2022-10-03,C0043,Customer_43,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),20,664,90,2023-01-01,26,1.0,0.4,12.0,150.0
a99d996a-99ca-4c4b-9137-a213dd2be93b,2020-07-03,C0006,Customer_6,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),9,553,30,2020-08-02,40,1.0,0.4,5.4,150.0
6e04441f-394f-497d-95af-affc19d57c78,2021-12-14,C0043,Customer_43,04aeb0c6-0c3d-45e4-9110-db4b95c85dec,Onions (1kg),6,769,90,2022-03-14,65,2.2,1.1,6.6,100.0
d2930ad0-309e-4c41-9941-93fea743e123,2024-05-14,C0043,Customer_43,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),7,508,90,2024-08-12,76,2.5,1.4,7.7,78.57
a0f51528-b3a7-4cbc-964f-bb600f7f8522,2021-11-11,C0015,Customer_15,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),17,583,90,2022-02-09,4,2.3,1.2,18.7,91.67
c68be240-10db-44ab-b6ce-3bd2107a1362,2021-12-01,C0008,Customer_8,07026d42-59df-4baf-9052-bdd454038097,Potatoes (1kg),16,724,30,2021-12-31,65,2.0,1.2,12.8,66.67
17b045a8-be33-405d-8b8e-2db1e82cb9e9,2024-08-23,C0032,Customer_32,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),9,657,90,2024-11-21,1,1.8,0.8,9.0,125.0
d5868669-50ad-482c-8779-8e3baa4241c5,2021-03-24,C0021,Customer_21,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),16,513,60,2021-05-23,23,2.3,1.2,17.6,91.67
8ddebba3-a7a3-4c77-b0d7-252a73f1f9e1,2021-10-02,C0026,Customer_26,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),7,552,60,2021-12-01,43,1.8,0.8,7.0,125.0
aa52fc1f-4920-4767-a587-bf60deb22597,2024-07-13,C0003,Customer_3,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),13,612,60,2024-09-11,58,2.3,1.2,14.3,91.67
56dfd1b8-8e60-49de-b915-51522810d27c,2021-01-30,C0029,Customer_29,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),15,624,30,2021-03-01,78,2.5,1.3,18.0,92.31
81c86ff6-78f7-4d01-a9db-20c82011b357,2021-10-04,C0016,Customer_16,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),19,743,30,2021-11-03,76,2.5,1.4,20.9,78.57
c8c51e96-a3d4-4852-904c-e701cc741260,2024-09-13,C0019,Customer_19,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),14,576,90,2024-12-12,98,2.5,1.3,16.8,92.31
7a6f5c7c-decd-49b5-b0b0-420d7ec542b5,2022-08-15,C0016,Customer_16,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),14,836,90,2022-11-13,48,2.3,1.2,15.4,91.67
f6de1be3-7c4d-4edd-aeda-20b4d7ebc660,2020-11-11,C0055,Customer_55,df9818a5-2744-45c9-9bf5-c07a04323567,Garlic (500g),17,563,90,2021-02-09,60,2.5,1.2,22.1,108.33
c8d07c1e-47a1-4615-b5e7-c120096e2a08,2024-02-25,C0024,Customer_24,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),3,700,60,2024-04-25,86,1.0,0.4,1.8,150.0
829b566f-b837-4749-a73f-a67bcc804230,2023-06-06,C0015,Customer_15,7107fb84-33a5-4346-8a57-ac4d39b79fc6,Salt (500g),2,842,90,2023-09-04,34,1.0,0.4,1.2,150.0
83f9e9fd-af4d-4ca3-8bf2-803f5bd74340,2021-10-18,C0033,Customer_33,68ce6b14-ebfb-44c8-a628-f39731433ee7,Cabbage (1kg),7,541,30,2021-11-17,12,2.5,1.4,7.7,78.57
940c7613-3477-4443-a275-59a469ba1328,2021-01-18,C0028,Customer_28,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),16,817,60,2021-03-19,21,2.5,1.3,19.2,92.31
0d3bab80-0a3a-4f93-a30d-dbf76b71465a,2020-04-16,C0021,Customer_21,aa538d61-d762-468b-93b9-74d561e70707,Sugar (1kg),5,682,30,2020-05-16,49,2.5,1.3,6.0,92.31
02b3608d-444d-4cba-b0f5-c5a74387ba2a,2024-04-15,C0044,Customer_44,60df96f8-0641-40d8-a6a3-f050bd77144a,Chili (200g),18,803,90,2024-07-14,31,1.8,0.8,18.0,125.0
3de2841d-568e-4477-a7a8-36c92ab1024d,2021-07-27,C0012,Customer_12,4333aab6-b4fb-4a1c-961f-a192c3deb18a,Carrots (1kg),1,794,30,2021-08-26,58,2.3,1.2,1.1,91.67
01f290c7-51f3-4c68-8264-5af040e9f4c4,2024-07-21,C0056,Customer_56,07026d42-59df-4baf-9052-bdd454038097,Potatoes (1kg),3,800,30,2024-08-20,70,2.0,1.2,2.4,66.67
